id_str,created_at,text,screen_name,rtfrom,cluster
1577346034539585536,Tue Oct 04 17:12:54 +0000 2022,"URGENTE  - DIANTE DAS MUITAS DENÚNCIAS DE FRAUDE, CABE A APLICAÇÃO  DE MEDIDAS DE EXCEÇÃO, COM APOIO DAS FFAA,  PARA PRORROGAR O INÍCIO SEGUNDO TURNO DAS ELEIÇÕES ATÉ A IMPLEMENTAÇÃO DO VOTO IMPRESSO, VIA EMENDA CONSTITUCIONAL EM REGIME DE URGÊNCIA. RETUITEM - Repassem.",0Nofilter7,AirtonC72112182,0
1576682137779982336,Sun Oct 02 21:14:49 +0000 2022,"TSE tinha tudo preparado para eleições tranquilas e rápidas e que o registro do voto impresso era retrocesso e atrasaria o tal brilhante sistema. Alguém preocupou demais em fustigar empresário por causa de emoji de joinha, no Zap, e esqueceu de algo importante: gestão.",0_RobinSchmidt,PeKelmonApoio,0
1584954016253251584,Tue Oct 25 17:04:19 +0000 2022,"Xandão quer provas impressas pra denúncia das fraudes de inserções de rádios, mas eu não posso ter meu voto impresso.",0_RobinSchmidt,LucianaSV29,0
1576959876135542784,Mon Oct 03 15:38:27 +0000 2022,Eleição no segundo turno deveria ter o voto impresso. Antiga sugestão do saudoso Olavo de Carvalho... https://t.co/1ayJIalzal,0_joe2020,alertatotal,0
1577435198035484672,Tue Oct 04 23:07:13 +0000 2022,"A questão não é se há fraude em nosso sistema eleitoral, porque ele é inauditável. A questão é jurídica: sem voto impresso não há materialidade do voto e a contagem PÚBLICA é impossível. Por esta razão, as democracias mais sólidas do mundo REJEITARAM o sistema 100% eletrônico.",0_joe2020,bernardokuster2,0
1576305655215927297,Sat Oct 01 20:18:49 +0000 2022,"Acima disso tudo, estão as urnas brasileiras de primeira geração, que quase ninguém mais utiliza no planeta, e que não produzem registro físico do voto para eventual auditoria. 

As desconfianças só aumentaram após o esforço descomunal da justiça para derrubar o voto impresso.",0liveiraCampos,leandroruschel,0
1582202817283903488,Tue Oct 18 02:52:02 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,0liveiraCampos,bernardokuster2,0
1579265512449527808,Mon Oct 10 00:20:14 +0000 2022,"@PastorMalafaia Vai dizer que o imundo ganhou com mais de 50% dos votos????? Estranho demais!!! Muito estranho é o mínimo!!! Voto auditavel iria mostrar outra realidade, mas o @TSEjusbr impediu que isso acontecesse",1000tonfreire,Mauropsitcc,0
1585392544724094976,Wed Oct 26 22:06:52 +0000 2022,"Por 30 anos vivemos o 'Tetro das Tesousas'
Mas agora, começa um Novo Tempo:
O TEATRO DA DEMOCRACIA !!!
#RadiolaoDoPT #TeatroDaDemocracia  #TeatroDoJudiciario  #FraudeEleitoral #CrimeEleitoral  #Eleicoes2022 https://t.co/lWKVwu7fZ5",1000tonfreire,RonisBrazil,0
1576014113364660225,Sat Oct 01 01:00:20 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",10Juscelino,Rconstantino,0
